"","departement","pop_marage","pop_domicile","pop_nais1","pop_nais2","pop_fr"
"1","Ain",2248,2217,993,1003,6461
"2","Aisne",1947,1828,2098,2156,8029
"3","Allier",1103,1009,1116,1070,4298
"4","Alpes-de-Haute-Provence",724,632,338,331,2025
"5","Hautes-Alpes",570,473,358,316,1717
"6","Alpes-Maritimes",4419,4443,2464,2470,13796
"7","Ardèche",1217,1040,650,620,3527
"8","Ardennes",928,829,1060,1108,3925
"9","Ariège",517,437,305,289,1548
"10","Aube",953,905,951,925,3734
"11","Aude",1368,1193,837,787,4185
"12","Aveyron",914,905,683,640,3142
"13","Bouches-du-Rhône",7714,7920,5809,5946,27389
"14","Calvados",2552,2295,2372,2432,9651
"15","Cantal",420,335,456,425,1636
"16","Charente",1175,1072,1083,1069,4399
"17","Charente-Maritime",2377,2031,1492,1452,7352
"18","Cher",986,894,764,782,3426
"19","Corrèze",713,650,640,596,2599
"20","Côte-d'Or",1747,1603,1663,1692,6705
"21","Côtes-d'Armor",2000,1789,1531,1467,6787
"22","Creuse",331,271,205,201,1008
"23","Dordogne",1608,1355,998,840,4801
"24","Doubs",1867,1867,1992,2002,7728
"25","Drôme",2057,1888,1385,1406,6736
"26","Eure",2246,2098,1436,1473,7253
"27","Eure-et-Loir",1408,1357,1306,1232,5303
"28","Finistère",2963,2707,2549,2509,10728
"29","Corse-du-Sud",631,547,257,259,1694
"30","Haute-Corse",651,583,259,291,1784
"31","Gard",2885,2667,1614,1630,8796
"32","Haute-Garonne",4184,4687,2582,2608,14061
"33","Gers",702,588,351,363,2004
"34","Gironde",5988,6114,3903,3916,19921
"35","Hérault",4349,4283,2427,2361,13420
"36","Ille-et-Vilaine",3268,3250,2540,2602,11660
"37","Indre",714,646,679,670,2709
"38","Indre-et-Loire",2117,1954,1723,1650,7444
"39","Isère",4553,4620,3179,3186,15538
"40","Jura",912,792,752,750,3206
"41","Landes",1439,1289,719,621,4068
"42","Loir-et-Cher",1117,1019,902,910,3948
"43","Loire",2532,2465,2763,2868,10628
"44","Haute-Loire",729,660,406,366,2161
"45","Loire-Atlantique",4759,4814,3708,3723,17004
"46","Loiret",2215,2195,1826,1864,8100
"47","Lot",635,470,374,352,1831
"48","Lot-et-Garonne",1237,1105,981,986,4309
"49","Lozère",239,191,133,139,702
"50","Maine-et-Loire",2675,2537,2692,2704,10608
"51","Manche",1862,1641,1787,1694,6984
"52","Marne",1849,1835,2133,2222,8039
"53","Haute-Marne",528,473,714,663,2378
"54","Mayenne",1027,925,920,939,3811
"55","Meurthe-et-Moselle",2385,2433,2636,2695,10149
"56","Meuse",628,560,648,618,2454
"57","Morbihan",2539,2247,1856,1861,8503
"58","Moselle",3695,3671,3990,3882,15238
"59","Nièvre",606,540,672,700,2518
"60","Nord",9226,9151,10990,11100,40467
"61","Oise",2905,2810,2206,2218,10139
"62","Orne",927,792,1052,971,3742
"63","Pas-de-Calais",5318,4987,5349,5441,21095
"64","Puy-de-Dôme",2094,2031,1714,1608,7447
"65","Pyrénées-Atlantiques",2281,2036,1651,1525,7493
"66","Hautes-Pyrénées",671,616,619,617,2523
"67","Pyrénées-Orientales",1608,1506,892,897,4903
"68","Bas-Rhin",4428,4434,3555,3570,15987
"69","Haut-Rhin",2953,2894,2560,2600,11007
"70","Rhône",6715,7408,6270,6389,26782
"71","Haute-Saône",753,709,584,519,2565
"72","Saône-et-Loire",1814,1585,1675,1636,6710
"73","Sarthe",1786,1703,1809,1815,7113
"74","Savoie",1599,1512,1065,1079,5255
"75","Haute-Savoie",2938,3027,1801,1786,9552
"76","Paris",9166,10989,12565,11710,44430
"77","Seine-Maritime",4555,4466,5068,5125,19214
"78","Seine-et-Marne",5165,5221,2747,2720,15853
"79","Yvelines",4676,4870,5135,5050,19731
"80","Deux-Sèvres",1120,1059,1048,1066,4293
"81","Somme",1975,1863,2090,2157,8085
"82","Tarn",1326,1162,947,932,4367
"83","Tarn-et-Garonne",904,814,500,504,2722
"84","Var",4341,4053,2215,2225,12834
"85","Vaucluse",2261,2059,1773,1858,7951
"86","Vendée",2436,2249,1352,1359,7396
"87","Vienne",1340,1281,1221,1105,4947
"88","Haute-Vienne",1129,1097,1035,1003,4264
"89","Vosges",1155,1025,1415,1402,4997
"90","Yonne",1109,991,903,971,3974
"91","Territoire de Belfort",483,491,562,619,2155
"92","Essonne",4203,4494,2259,2461,13417
"93","Hauts-de-Seine",5391,6552,5037,5115,22095
"94","Seine-Saint-Denis",5747,6222,4467,4677,21113
"95","Val-de-Marne",4705,5292,3714,3849,17560
"96","Val-d Oise",4562,4808,2990,3222,15582
"97","Guadeloupe",1187,1159,1497,1369,5212
"98","Martinique",1100,1041,1440,1339,4920
"99","Guyane",660,679,415,426,2180
"100","La Réunion",2955,2780,2826,2940,11501
"101","Mayotte",346,350,190,225,1111
"102","Saint-Barthélemy",NA,4,NA,NA,4
"103","Saint-Martin",NA,4,NA,NA,4
"104","Wallis et Futuna",NA,2,44,32,78
"105","Polynésie française",NA,12,212,161,385
"106","Nouvelle-Calédonie",NA,25,90,84,199
"107","Étranger",NA,2576,37122,37665,77363
"108","Corse",NA,NA,237,144,381
"109","Saint-Pierre-et-Miquelon",NA,NA,4,7,11
"110","Terres australes et antarctiques françaises",NA,NA,163,110,273
